text,ml_prediction,llm_prediction
"May contain: Soya, Mustard, Lupin","Soybeans - indexes: [13,17] - text: Soya
Mustard - indexes: [19,26] - text: Mustard
Lupin - indexes: [28,33] - text: Lupin","For the input `May contain: Soya, Mustard, Lupin`, I'll analyze and extract the allergen information:

```
Span: ""May contain: Soya""
Word or Label Denoting Allergen: ""Soya""
Allergen Category: ""Soybeans""
Certainty: ""Low""
Explanation: ""Listed in 'may contain' statement, indicating potential presence rather than definite inclusion.""

Span: ""May contain: Soya, Mustard""
Word or Label Denoting Allergen: ""Mustard""
Allergen Category: ""Mustard""
Certainty: ""Low""
Explanation: ""Listed in 'may contain' statement, indicating potential presence rather than definite inclusion.""

Span: ""May contain: Soya, Mustard, Lupin""
Word or Label Denoting Allergen: ""Lupin""
Allergen Category: ""Lupin""
Certainty: ""Low""
Explanation: ""Listed in 'may contain' statement, indicating potential presence rather than definite inclusion.""
```

The allergens are explicitly labeled in an allergen format (preceded by ""May contain:""), so they qualify for extraction. All three allergens are assigned ""Low"" certainty due to the ""May contain"" qualifier, which indicates potential rather than definite presence. Each allergen is listed separately with its relevant context span and appropriate allergen category."
"Chicken, Lamb, Lamb Chops and King Prawn in a Special Masala Sauce with Onion and Peppers. Chef Recommendation. Contains Nut","Nuts - indexes: [121,124] - text: Nut","For the provided menu item text:
`Chicken, Lamb, Lamb Chops and King Prawn in a Special Masala Sauce with Onion and Peppers. Chef Recommendation. Contains Nut`

Here's the analysis:

```
Span: ""Chef Recommendation. Contains Nut""
Word or Label Denoting Allergen: ""Nut""
Allergen Category: ""Nuts""
Certainty: ""High""
Explanation: ""Explicitly labeled with 'Contains' prefix indicating allergen declaration.""
```

The analysis found one allergen explicitly labeled with the ""Contains"" prefix. While the menu item contains other ingredients that could be potential allergens (like King Prawn which is a crustacean), only explicitly labeled allergens are included in the output as per the guidelines. The ""Contains Nut"" phrase clearly indicates an allergen declaration, hence it's included with high certainty."
Keema Naan (D),"Dairy - indexes: [12,13] - text: D","For the input menu item ""Keema Naan (D)"", I'll analyze it according to the given guidelines:

```
Span: ""Keema Naan (D)""
Word or Label Denoting Allergen: ""D""
Allergen Category: ""Dairy""
Certainty: ""High""
Explanation: ""Shorthand 'D' is used as an allergen label indicating Dairy content.""
```

This analysis is based on:
1. The presence of ""(D)"" which is a standard allergen labeling format
2. ""D"" is commonly used as a shorthand label for Dairy in food service
3. The label appears in parentheses after the menu item name, which is a typical allergen labeling convention
4. The certainty is marked as ""High"" because it follows a clear allergen labeling format

While the menu item contains ""Keema"" (minced meat) as an ingredient, this is not marked as an allergen, so it's not included in the extraction according to the guidelines."
"Topped with BBQ sauce Contains cereals containing gluten, eggs, peanuts, sesame seeds & soya","Gluten - indexes: [31,56] - text: cereals containing gluten
Eggs - indexes: [58,62] - text: eggs
Peanuts - indexes: [64,71] - text: peanuts
Sesame - indexes: [73,85] - text: sesame seeds
Soybeans - indexes: [88,92] - text: soya","Let me analyze the menu item text according to the provided guidelines.

For the input: `Topped with BBQ sauce Contains cereals containing gluten, eggs, peanuts, sesame seeds & soya`

Since this has explicit allergen labeling starting with ""Contains"", I'll extract the allergens:

```
Span: ""Contains cereals containing gluten""
Word or Label Denoting Allergen: ""gluten""
Allergen Category: ""Gluten""
Certainty: ""High""
Explanation: ""Explicitly listed after 'Contains' statement""

Span: ""Contains cereals containing gluten, eggs""
Word or Label Denoting Allergen: ""eggs""
Allergen Category: ""Eggs""
Certainty: ""High""
Explanation: ""Explicitly listed after 'Contains' statement""

Span: ""gluten, eggs, peanuts, sesame""
Word or Label Denoting Allergen: ""peanuts""
Allergen Category: ""Peanuts""
Certainty: ""High""
Explanation: ""Explicitly listed after 'Contains' statement""

Span: ""eggs, peanuts, sesame seeds &""
Word or Label Denoting Allergen: ""sesame seeds""
Allergen Category: ""Sesame""
Certainty: ""High""
Explanation: ""Explicitly listed after 'Contains' statement""

Span: ""sesame seeds & soya""
Word or Label Denoting Allergen: ""soya""
Allergen Category: ""Soybeans""
Certainty: ""High""
Explanation: ""Explicitly listed after 'Contains' statement""
```"
Kadai Paneer (DN),"Dairy - indexes: [14,16] - text: DN","For the menu item ""Kadai Paneer (DN)"", let me analyze it according to the given guidelines:

```
Span: ""Kadai Paneer (DN)""
Word or Label Denoting Allergen: ""D""
Allergen Category: ""Dairy""
Certainty: ""High""
Explanation: ""Shorthand 'D' indicates Dairy as an allergen.""

Span: ""Kadai Paneer (DN)""
Word or Label Denoting Allergen: ""N""
Allergen Category: ""Nuts""
Certainty: ""High""
Explanation: ""Shorthand 'N' indicates Nuts as an allergen.""
```

The analysis identifies two allergen labels in shorthand format:
1. ""D"" indicating Dairy
2. ""N"" indicating Nuts

Both are presented in a standard allergen labeling format (parenthetical notation) and are recognized shorthand labels according to the guidelines. The certainty is marked as ""High"" because they are explicitly presented as allergen labels in the standard format."
"Potato gnocchi in rich Sicilian sauce made with tomato, aubergine, capers and olives. Finished fresh parsley and extra virgin olive oil (sulphites)","Sulphites - indexes: [137,146] - text: sulphites","For the provided menu item text:
`Potato gnocchi in rich Sicilian sauce made with tomato, aubergine, capers and olives. Finished fresh parsley and extra virgin olive oil (sulphites)`

Here's the analysis:

```
Span: ""olive oil (sulphites)""
Word or Label Denoting Allergen: ""sulphites""
Allergen Category: ""Sulphites""
Certainty: ""High""
Explanation: ""Sulphites is explicitly labeled in parentheses as an allergen.""
```

The menu item contains one explicitly labeled allergen - sulphites, which is presented in parentheses at the end of the description. This format indicates it's being called out specifically as an allergen rather than just being mentioned as an ingredient.

While the dish likely contains other ingredients that could be allergens (like potato in the gnocchi which might contain gluten), these are not explicitly labeled as allergens in the text, so they are not included in the extraction according to the guidelines."
"CEREALS, MILK, EGG
Exact ingredients may differ depending on store location. Please ask the team directly if you require further information.","Gluten - indexes: [0,7] - text: CEREALS
Dairy - indexes: [9,13] - text: MILK
Eggs - indexes: [15,18] - text: EGG","For the provided input:
```
CEREALS, MILK, EGG
Exact ingredients may differ depending on store location. Please ask the team directly if you require further information.
```

Output:
```
No Allergens Found
```

Explanation: While the text mentions items that could be allergens (CEREALS, MILK, EGG), they are not explicitly presented in an allergen format (e.g., ""Allergens:"", ""Contains:"", etc.). They appear to be listed as general ingredients rather than being specifically labeled as allergens. Following the guidelines, particularly point #1 which specifies that we should ""Only extract allergens explicitly presented in allergen format,"" and point #8 regarding default handling for non-allergen formats, we must output ""No Allergens Found"" since the allergens are not explicitly labeled as such in the text."
"Contains crustaceans, fish, sulphur dioxide/sulphites, soybeans, sesame, peanuts, nuts, mustard, molluscs, milk, lupin, gluten","Crustaceans - indexes: [9,20] - text: crustaceans
Fish - indexes: [22,26] - text: fish
Sulphites - indexes: [28,53] - text: sulphur dioxide/sulphites
Soybeans - indexes: [55,63] - text: soybeans
Sesame - indexes: [65,71] - text: sesame
Peanuts - indexes: [73,80] - text: peanuts
Nuts - indexes: [82,86] - text: nuts
Mustard - indexes: [88,95] - text: mustard
Molluscs - indexes: [97,105] - text: molluscs
Dairy - indexes: [107,111] - text: milk
Lupin - indexes: [113,118] - text: lupin
Gluten - indexes: [120,126] - text: gluten","For the provided input: `Contains crustaceans, fish, sulphur dioxide/sulphites, soybeans, sesame, peanuts, nuts, mustard, molluscs, milk, lupin, gluten`

I'll analyze the allergens since they are explicitly labeled with ""Contains"":

```
Span: ""Contains crustaceans""
Word or Label Denoting Allergen: ""crustaceans""
Allergen Category: ""Crustaceans""
Certainty: ""High""
Explanation: ""Explicitly listed after 'Contains' statement.""

Span: ""Contains crustaceans, fish""
Word or Label Denoting Allergen: ""fish""
Allergen Category: ""Fish""
Certainty: ""High""
Explanation: ""Explicitly listed after 'Contains' statement.""

Span: ""sulphur dioxide/sulphites""
Word or Label Denoting Allergen: ""sulphites""
Allergen Category: ""Sulphites""
Certainty: ""High""
Explanation: ""Explicitly listed after 'Contains' statement.""

Span: ""Contains ... soybeans""
Word or Label Denoting Allergen: ""soybeans""
Allergen Category: ""Soybeans""
Certainty: ""High""
Explanation: ""Explicitly listed after 'Contains' statement.""

Span: ""Contains ... sesame""
Word or Label Denoting Allergen: ""sesame""
Allergen Category: ""Sesame""
Certainty: ""High""
Explanation: ""Explicitly listed after 'Contains' statement.""

Span: ""Contains ... peanuts""
Word or Label Denoting Allergen: ""peanuts""
Allergen Category: ""Peanuts""
Certainty: ""High""
Explanation: ""Explicitly listed after 'Contains' statement.""

Span: ""Contains ... nuts""
Word or Label Denoting Allergen: ""nuts""
Allergen Category: ""Nuts""
Certainty: ""High""
Explanation: ""Explicitly listed after 'Contains' statement.""

Span:"
HUMUS AND LAMB N GF:,"Nuts - indexes: [15,16] - text: N","For the input menu item ""HUMUS AND LAMB N GF:"", I will analyze it according to the provided guidelines:

```
Span: ""LAMB N GF""
Word or Label Denoting Allergen: ""N""
Allergen Category: ""Nuts""
Certainty: ""High""
Explanation: ""Shorthand 'N' is used as a standard allergen label indicating Nuts.""
```

The analysis found one allergen label:
- The shorthand ""N"" which is explicitly used as an allergen label indicating Nuts
- ""GF"" is not included as an allergen as it typically indicates ""Gluten Free"" which is a dietary designation rather than an allergen warning
- While hummus typically contains sesame (tahini), since it's not explicitly labeled as an allergen in the text, it is not included in the extraction according to the guidelines

The certainty is marked as ""High"" because the shorthand label ""N"" is used in a standard allergen labeling format, even though it's not preceded by ""Contains"" or ""Allergens:"". This follows the guidelines for extracting explicitly presented allergen labels."
"Milk chocolate minimum 38% cocoa (sugar, cocoa butter, cocoa mass, whole milk powder, skimmed milk powder, cream powder, emulsifier: soy lecithin, vanilla), hazelnut pieces (15%) (Roasted PGI Piedmont Hazelnuts). May contain traces of nuts, milk proteins (including lactose) and egg proteins, sesame, gluten and peanuts.","Dairy - indexes: [0,4] - text: Milk
Dairy - indexes: [73,77] - text: milk
Dairy - indexes: [94,98] - text: milk
Soybeans - indexes: [133,136] - text: soy
Nuts - indexes: [201,210] - text: Hazelnuts
Nuts - indexes: [235,239] - text: nuts
Dairy - indexes: [241,254] - text: milk proteins
Dairy - indexes: [266,273] - text: lactose
Eggs - indexes: [279,291] - text: egg proteins
Sesame - indexes: [293,299] - text: sesame
Gluten - indexes: [301,307] - text: gluten
Peanuts - indexes: [312,319] - text: peanuts","For the provided menu item text, since it contains allergen information in a ""may contain"" format and ingredient listing that includes allergens, I'll analyze according to the guidelines:

```
Span: ""May contain traces of nuts""
Word or Label Denoting Allergen: ""nuts""
Allergen Category: ""Nuts""
Certainty: ""Low""
Explanation: ""Listed in 'may contain traces' warning statement""

Span: ""traces of milk proteins (including""
Word or Label Denoting Allergen: ""milk proteins""
Allergen Category: ""Dairy""
Certainty: ""Low""
Explanation: ""Listed in 'may contain traces' warning statement""

Span: ""and egg proteins, sesame""
Word or Label Denoting Allergen: ""egg proteins""
Allergen Category: ""Eggs""
Certainty: ""Low""
Explanation: ""Listed in 'may contain traces' warning statement""

Span: ""egg proteins, sesame, gluten""
Word or Label Denoting Allergen: ""sesame""
Allergen Category: ""Sesame""
Certainty: ""Low""
Explanation: ""Listed in 'may contain traces' warning statement""

Span: ""sesame, gluten and peanuts""
Word or Label Denoting Allergen: ""gluten""
Allergen Category: ""Gluten""
Certainty: ""Low""
Explanation: ""Listed in 'may contain traces' warning statement""

Span: ""gluten and peanuts""
Word or Label Denoting Allergen: ""peanuts""
Allergen Category: ""Peanuts""
Certainty: ""Low""
Explanation: ""Listed in 'may contain traces' warning statement""
```

Note: While the text also contains ingredients like ""soy lecithin"" and ""milk powder"" in the regular ingredient list, these aren't explicitly labeled as allergens, so they weren't included in the extraction according to the guidelines."
"Marchesi 1824 uses the finest varieties of cocoa from around the world to create its premium chocolate bars. The combination of fine Criollo cocoa from Venezuela’s Sur del Lago de Maracaibo region and high-quality I.G.P. hazelnuts from the hills of Piedmont is irresistible.
Product code: 510624036_V","Nuts - indexes: [221,230] - text: hazelnuts","For the provided menu item text, I'll analyze it according to the given guidelines:

```
No Allergens Found
```

Explanation of analysis:
- The text mentions hazelnuts and cocoa, which are potential allergens, but they are not explicitly labeled as allergens in the text (e.g., no ""Allergens:"" prefix or ""Contains:"" statement).
- The ingredients are mentioned as part of a general product description rather than in an allergen warning format.
- Following guideline #1, which specifies to ""Only extract allergens explicitly presented in allergen format,"" and guideline #8 regarding default handling, we must output ""No Allergens Found"" since there are no explicit allergen labels in the text.
- While hazelnuts (a type of nut) and cocoa are common allergens, they are presented here as premium ingredients rather than being labeled as allergens, so they should not be included in the allergen extraction."
"Contain Gluten, Sesame Oil & Pork Filling","Gluten - indexes: [8,14] - text: Gluten
Sesame - indexes: [16,26] - text: Sesame Oil","For the input text ""Contain Gluten, Sesame Oil & Pork Filling"", I'll analyze it according to the guidelines:

```
Span: ""Contain Gluten""
Word or Label Denoting Allergen: ""Gluten""
Allergen Category: ""Gluten""
Certainty: ""High""
Explanation: ""Explicitly stated with 'Contain' indicating allergen declaration.""

Span: ""Contain Gluten, Sesame Oil""
Word or Label Denoting Allergen: ""Sesame""
Allergen Category: ""Sesame""
Certainty: ""High""
Explanation: ""Explicitly stated in allergen declaration format with 'Contain'.""
```

This analysis is based on:
1. The text starts with ""Contain"" which indicates an allergen declaration format
2. Two allergens are explicitly mentioned: Gluten and Sesame (in ""Sesame Oil"")
3. Both allergens are listed in the recognized allergen categories
4. The certainty is ""High"" because they are explicitly stated in an allergen declaration format
5. ""Pork"" is not included as it's not an allergen category in the guidelines

The context spans include the relevant surrounding words while staying within the 3-word limit before and after each allergen term."
[Se],"Sesame - indexes: [1,3] - text: Se","For the input menu item ""[Se]"", I'll analyze it according to the provided guidelines:

```
Span: ""[Se]""
Word or Label Denoting Allergen: ""Se""
Allergen Category: ""Sesame""
Certainty: ""High""
Explanation: ""Shorthand 'Se' in brackets indicates Sesame as an allergen label.""
```

This analysis is based on:
1. The text is presented in a bracketed format ""[Se]"" which is a common allergen labeling convention
2. ""Se"" is a recognized shorthand notation for Sesame in allergen labeling
3. The format matches typical allergen labeling patterns
4. The bracketed presentation suggests it's specifically meant to denote an allergen rather than being part of a general ingredient list

While the format is minimal, it follows standard allergen labeling conventions, making it appropriate to identify this as an allergen notation rather than treating it as a general ingredient mention."
"Burrata, mortadella, balsamic roasted grapes, pistachios, gluten free bruschetta","Nuts - indexes: [46,56] - text: pistachios","For the provided menu item:
`Burrata, mortadella, balsamic roasted grapes, pistachios, gluten free bruschetta`

```
No Allergens Found
```

Explanation: While this menu item contains ingredients that could be allergens (such as burrata which contains dairy, pistachios which are nuts, and a reference to ""gluten free""), none of these are explicitly labeled or formatted as allergens (e.g., there's no ""Contains:"" or ""Allergens:"" prefix, or standardized allergen notation). According to the guidelines, we should only extract allergens that are explicitly presented in allergen format, not ingredients that happen to be potential allergens. Therefore, the correct output is ""No Allergens Found."""
"Hot, Contains Peanuts or Cashew nuts","Peanuts - indexes: [14,21] - text: Peanuts
Nuts - indexes: [25,36] - text: Cashew nuts","For the input: `Hot, Contains Peanuts or Cashew nuts`

```
Span: ""Contains Peanuts or Cashew nuts""
Word or Label Denoting Allergen: ""Peanuts""
Allergen Category: ""Peanuts""
Certainty: ""High""
Explanation: ""Explicitly labeled with 'Contains' indicating allergen declaration.""

Span: ""Contains Peanuts or Cashew nuts""
Word or Label Denoting Allergen: ""Cashew nuts""
Allergen Category: ""Nuts""
Certainty: ""High""
Explanation: ""Explicitly labeled with 'Contains' indicating allergen declaration.""
```

The analysis identifies two allergens because:
1. The phrase ""Contains"" is a clear allergen label indicator
2. Both ""Peanuts"" and ""Cashew nuts"" are listed following this allergen indicator
3. Both are recognized allergen categories (Peanuts and Nuts respectively)
4. The certainty is ""High"" because they are explicitly labeled with ""Contains""
5. Each allergen gets its own separate entry as per the guidelines"
(Nan bread with powdered almond),"Nuts - indexes: [25,31] - text: almond","For the input menu item ""Nan bread with powdered almond"", the appropriate output would be:

```
No Allergens Found
```

Explanation: While the menu item contains ""almond"" which is a type of nut and a potential allergen, it is not explicitly labeled or presented in an allergen format (e.g., ""Allergens:"", ""Contains:"", or using allergen labels/symbols). The mention of almond appears as part of the general ingredient description rather than being specifically called out as an allergen. Following the guidelines, particularly Guideline #1 which specifies to only extract allergens explicitly presented in allergen format, this case requires the ""No Allergens Found"" response."
Ham (Crusty),"Crustaceans - indexes: [5,11] - text: Crusty","For the menu item ""Ham (Crusty)"", I'll analyze it according to the provided guidelines:

```
No Allergens Found
```

Explanation of analysis:
- The menu item ""Ham (Crusty)"" does not contain any explicitly labeled allergens
- There are no allergen indicators like ""Allergens:"", ""Contains:"", or standard allergen shorthand labels
- While ham and bread products might contain allergens, they are not explicitly labeled as allergens in this text
- Following guideline #1, we do not extract potential allergens that aren't explicitly presented in allergen format
- Therefore, the correct output is ""No Allergens Found"""
"Strips of meat cooked with spices, fresh coriander, fresh cream (milk), yoghurt (milk), tomatoes, garlic and ginger in bay leaf juices, cardamom, poppy seeds and cloves. Full of distinctive flavours.","Dairy - indexes: [65,69] - text: milk
Dairy - indexes: [72,79] - text: yoghurt
Dairy - indexes: [81,85] - text: milk","For the provided menu item text:
`Strips of meat cooked with spices, fresh coriander, fresh cream (milk), yoghurt (milk), tomatoes, garlic and ginger in bay leaf juices, cardamom, poppy seeds and cloves. Full of distinctive flavours.`

Since the allergens are indicated in parentheses with explicit labeling, I'll extract them:

```
Span: ""fresh cream (milk)""
Word or Label Denoting Allergen: ""milk""
Allergen Category: ""Dairy""
Certainty: ""High""
Explanation: ""Milk is explicitly labeled as an allergen in parentheses after cream""

Span: ""yoghurt (milk)""
Word or Label Denoting Allergen: ""milk""
Allergen Category: ""Dairy""
Certainty: ""High""
Explanation: ""Milk is explicitly labeled as an allergen in parentheses after yoghurt""
```

The text contains two instances where milk is explicitly labeled as an allergen in parentheses, indicating dairy allergens. While the menu item contains dairy products (cream and yoghurt), the allergen labeling is specifically denoted by the ""(milk)"" notation after each dairy ingredient, making these valid allergen declarations according to the guidelines."
SSK: SS Prawn Balls 古虾球,"Sesame - indexes: [5,7] - text: SS
Crustaceans - indexes: [8,13] - text: Prawn","For the menu item ""SSK: SS Prawn Balls 古虾球"", my analysis is:

```
No Allergens Found
```

Explanation: While this menu item likely contains prawns (which are crustaceans and a common allergen), there are no explicit allergen labels or allergen formatting in the text. Following the guidelines, we should only extract allergens that are explicitly presented in allergen format (e.g., ""Allergens:"", ""Contains:"", or clearly marked allergen labels). Since no such explicit allergen labeling is present, the correct output is ""No Allergens Found""."
Enjoy the perfect harmony of textures with our plant-based mock' chicken and crispy fried tofu. A delectable vegan dish that's both satisfying and full of flavor. 🌱🥢,"Soybeans - indexes: [125,126] - text: s","Based on the provided menu item text and guidelines, here is my analysis:

```
No Allergens Found
```

Explanation of analysis:
- The menu item describes a plant-based dish with mock chicken and tofu
- While tofu is made from soybeans (a common allergen), it is not explicitly labeled as an allergen in the text
- No allergen formatting (such as ""Contains:"", ""Allergens:"", or allergen symbols/codes) is present
- The text only contains general ingredient descriptions without explicit allergen labeling
- The only symbols used (🌱🥢) are decorative and do not indicate allergens

Therefore, following the guidelines that specify we should only extract allergens that are explicitly presented in allergen format, and default to ""No Allergens Found"" when no such explicit labeling exists, this is the appropriate output."
"Goan Prawn Curry (M, D, Cr)","Mustard - indexes: [18,19] - text: M
Dairy - indexes: [21,22] - text: D
Crustaceans - indexes: [24,26] - text: Cr","For the input menu item ""Goan Prawn Curry (M, D, Cr)"", I'll analyze the allergen labels:

```
Span: ""Curry (M, D, Cr)""
Word or Label Denoting Allergen: ""M""
Allergen Category: ""Molluscs""
Certainty: ""High""
Explanation: ""Shorthand 'M' indicates Molluscs as an allergen in standard allergen labeling format.""

Span: ""Curry (M, D, Cr)""
Word or Label Denoting Allergen: ""D""
Allergen Category: ""Dairy""
Certainty: ""High""
Explanation: ""Shorthand 'D' indicates Dairy as an allergen in standard allergen labeling format.""

Span: ""Curry (M, D, Cr)""
Word or Label Denoting Allergen: ""Cr""
Allergen Category: ""Crustaceans""
Certainty: ""High""
Explanation: ""Shorthand 'Cr' indicates Crustaceans as an allergen in standard allergen labeling format.""
```

The allergens are clearly labeled in a standard allergen format using shorthand notation within parentheses, making these high-certainty identifications. The presence of prawns in the dish name also supports the Crustacean allergen labeling."
"Served with skin on apples. The classic flavour is our most popular. Not overly sweet or too tart so a perfect middle ground. Served with vegan shortbread crumble.
Unfortunately, we cannot cater for nut allergies or coeliacs.","Nuts - indexes: [199,202] - text: nut","For the provided menu item text, I'll analyze it according to the guidelines:

```
No Allergens Found
```

Explanation of analysis:
- While the text mentions ""nut allergies"" and ""coeliacs"", these are not presented in an explicit allergen format (e.g., ""Allergens:"", ""Contains:"", etc.).
- The mentions appear in a general advisory statement about what cannot be catered for, rather than as formal allergen labeling.
- According to guideline #1, we should only extract allergens that are explicitly presented in allergen format, which is not the case here.
- Following guideline #8, when allergens are not explicitly labeled in an allergen format, we must output ""No Allergens Found"".
- The presence of ingredients like ""apples"" or ""shortbread"" are not considered as they are not presented in an allergen labeling format."
Cereals containing gluten Molluscs Soya,"Gluten - indexes: [0,25] - text: Cereals containing gluten
Molluscs - indexes: [26,34] - text: Molluscs
Soybeans - indexes: [35,39] - text: Soya","For the input text ""Cereals containing gluten Molluscs Soya"", since these allergens are listed in a standard allergen listing format, I'll analyze each allergen:

```
Span: ""Cereals containing gluten""
Word or Label Denoting Allergen: ""gluten""
Allergen Category: ""Gluten""
Certainty: ""High""
Explanation: ""Explicitly listed as an allergen in standard format.""

Span: ""Molluscs""
Word or Label Denoting Allergen: ""Molluscs""
Allergen Category: ""Molluscs""
Certainty: ""High""
Explanation: ""Explicitly listed as an allergen in standard format.""

Span: ""Soya""
Word or Label Denoting Allergen: ""Soya""
Allergen Category: ""Soybeans""
Certainty: ""High""
Explanation: ""Explicitly listed as an allergen in standard format. Soya is another term for Soybeans.""
```

The text appears to be a standard allergen listing format, presenting three common allergens (gluten, molluscs, and soya) in a clear, direct manner. Each allergen is treated with high certainty as they are presented in what appears to be a formal allergen declaration format rather than as part of a general ingredient list or recipe description."
"vegetable spring rolls, sweet corn cakes, tempura vegetables .Contains: Sesame seeds Gluten , Soya","Fish - indexes: [62,70] - text: Contains
Sesame - indexes: [72,84] - text: Sesame seeds
Gluten - indexes: [85,91] - text: Gluten
Soybeans - indexes: [94,98] - text: Soya","For the provided menu item text: `vegetable spring rolls, sweet corn cakes, tempura vegetables .Contains: Sesame seeds Gluten , Soya`

Here's the analysis:

```
Span: ""Contains: Sesame seeds""
Word or Label Denoting Allergen: ""Sesame seeds""
Allergen Category: ""Sesame""
Certainty: ""High""
Explanation: ""Explicitly listed after 'Contains:' label""

Span: ""Contains: Sesame seeds Gluten""
Word or Label Denoting Allergen: ""Gluten""
Allergen Category: ""Gluten""
Certainty: ""High""
Explanation: ""Explicitly listed after 'Contains:' label""

Span: ""Gluten , Soya""
Word or Label Denoting Allergen: ""Soya""
Allergen Category: ""Soybeans""
Certainty: ""High""
Explanation: ""Explicitly listed after 'Contains:' label""
```

The text contains three allergens explicitly labeled after ""Contains:"", meeting the criteria for allergen identification. Each allergen is clearly stated with high certainty as they are formally declared in an allergen statement format. The context spans include the relevant surrounding text, and the allergen categories match the standardized categories from the guidelines."
Caramel ice cream with a caramel swirl & chocolatey caramel chunks,"Dairy - indexes: [12,17] - text: cream","For the provided menu item:
`Caramel ice cream with a caramel swirl & chocolatey caramel chunks`

**Output:**
```
No Allergens Found
```

Explanation: While this menu item likely contains allergens (such as dairy), there are no explicitly labeled allergens in the text. The ingredients are presented as descriptive text without any allergen formatting or labels (such as ""Contains:"" or ""Allergens:""). Following the guidelines, we only extract allergens that are explicitly presented in allergen format, so ""No Allergens Found"" is the correct output."
"Home-made Thai style roast duck cut into slices cooked with pineapple, rambutans, kaffir lime leaves, Thai eggplant & red curry paste (contains shrimp paste - not suitable for vegans)","Crustaceans - indexes: [144,150] - text: shrimp","For the provided menu item:
`Home-made Thai style roast duck cut into slices cooked with pineapple, rambutans, kaffir lime leaves, Thai eggplant & red curry paste (contains shrimp paste - not suitable for vegans)`

```
Span: ""paste (contains shrimp paste -""
Word or Label Denoting Allergen: ""shrimp""
Allergen Category: ""Shellfish""
Certainty: ""High""
Explanation: ""Explicitly labeled with 'contains' indicating allergen declaration.""
```

The analysis found one allergen explicitly labeled with ""contains"" in the menu item. While the dish contains other ingredients that could be potential allergens (like duck), they are not explicitly labeled in an allergen format, so they are not included in the extraction according to the guidelines.

The shrimp paste is identified as an allergen because:
1. It is explicitly marked with ""contains"" which is a standard allergen labeling format
2. Shrimp falls under the Shellfish allergen category
3. The certainty is ""High"" because it uses clear allergen labeling language (""contains"")"
"Contains gluten, milk, sulphur dioxide/sulphites","Gluten - indexes: [9,15] - text: gluten
Dairy - indexes: [17,21] - text: milk
Sulphites - indexes: [23,38] - text: sulphur dioxide
Sulphites - indexes: [39,48] - text: sulphites","For the input: `Contains gluten, milk, sulphur dioxide/sulphites`

Here's the analysis:

```
Span: ""Contains gluten""
Word or Label Denoting Allergen: ""gluten""
Allergen Category: ""Gluten""
Certainty: ""High""
Explanation: ""Explicitly stated with 'Contains' label.""

Span: ""Contains gluten, milk""
Word or Label Denoting Allergen: ""milk""
Allergen Category: ""Dairy""
Certainty: ""High""
Explanation: ""Explicitly stated with 'Contains' label.""

Span: ""milk, sulphur dioxide/sulphites""
Word or Label Denoting Allergen: ""sulphur dioxide/sulphites""
Allergen Category: ""Sulphites""
Certainty: ""High""
Explanation: ""Explicitly stated with 'Contains' label.""
```

The text clearly identifies three allergens using the ""Contains"" label, making them explicit allergen declarations. Each allergen is listed with high certainty as they are formally declared as allergens rather than appearing as general ingredients. The context spans include the surrounding terms while maintaining the connection to the ""Contains"" label where possible."
Allergens: Molluscs (Squid).,"Molluscs - indexes: [11,19] - text: Molluscs
Molluscs - indexes: [21,26] - text: Squid","For the input text ""Allergens: Molluscs (Squid)."", I'll analyze it according to the provided guidelines:

```
Span: ""Allergens: Molluscs (Squid)""
Word or Label Denoting Allergen: ""Molluscs""
Allergen Category: ""Molluscs""
Certainty: ""High""
Explanation: ""Molluscs is explicitly listed under 'Allergens:' with specific mention of Squid""
```

This analysis is based on:
1. The text contains an explicit allergen label (""Allergens:"")
2. ""Molluscs"" is clearly identified as an allergen
3. The certainty is ""High"" because it's explicitly labeled as an allergen
4. The context span includes the full relevant phrase
5. The allergen category matches one of the specified categories in the guidelines
6. The parenthetical ""(Squid)"" provides additional specificity but doesn't constitute a separate allergen entry"
