text,current_prediction,suggested_correction,reason
Vegetarian. Contain cerals containing gluten,"Gluten - indexes: [20,44] - text: cerals containing gluten",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Potato cubes sautéed with spices, topped with fried vegetables. Cereal containing Gluten and sesame. V.
Contains gluten, sesame.","Gluten - indexes: [64,88] - text: Cereal containing Gluten
Sesame - indexes: [93,99] - text: sesame
Gluten - indexes: [113,119] - text: gluten
Sesame - indexes: [121,127] - text: sesame",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"King prawn marinated in special mix herbs, spices and which is then skewered and barbecued in the Tandoori clay oven. Recooked in a unique spicy aromatic hot sauce with, fresh chillies, onions and pepper strips with special hot Bengali chilli paste. ALLERGY INFORMATION CONTAIN: Mustard and genetically modified Soya oil","Mustard - indexes: [279,286] - text: Mustard
Soybeans - indexes: [312,320] - text: Soya oil",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Contains nuts, hazelnut, pistachio nut, walnut, almond","Nuts - indexes: [9,13] - text: nuts
Nuts - indexes: [15,23] - text: hazelnut
Nuts - indexes: [25,38] - text: pistachio nut
Nuts - indexes: [40,46] - text: walnut
Nuts - indexes: [48,54] - text: almond",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"gluten, vegetarian, soya, nuts, peanut, seasame seeds, sulphur dioxide and mustard","Gluten - indexes: [0,6] - text: gluten
Soybeans - indexes: [20,24] - text: soya
Nuts - indexes: [26,30] - text: nuts
Peanuts - indexes: [32,38] - text: peanut
Sesame - indexes: [40,53] - text: seasame seeds
Sulphites - indexes: [55,70] - text: sulphur dioxide
Mustard - indexes: [75,82] - text: mustard",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
Contains cereal.,"Gluten - indexes: [9,15] - text: cereal",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"*Contains dairy, mustard, soy sauce","Dairy - indexes: [10,15] - text: dairy
Mustard - indexes: [17,24] - text: mustard
Soybeans - indexes: [26,35] - text: soy sauce",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
Medium with spinach; less sauce finishing touch of butter and ghee.,"Dairy - indexes: [51,57] - text: butter
Dairy - indexes: [62,66] - text: ghee",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"a famous street food style salad made with shredded swede, carrots, green beans, peanuts, chili + garlic sauce. (f/pn)","Peanuts - indexes: [81,88] - text: peanuts
Fish - indexes: [113,114] - text: f
Peanuts - indexes: [115,117] - text: pn",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Contains, Molluscs, eggs, Soya, Cereal contain gluten","Molluscs - indexes: [10,18] - text: Molluscs
Eggs - indexes: [20,24] - text: eggs
Soybeans - indexes: [26,30] - text: Soya
Gluten - indexes: [32,53] - text: Cereal contain gluten",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
KING PRAWN CURRY,"Crustaceans - indexes: [0,4] - text: KING
Crustaceans - indexes: [5,10] - text: PRAWN",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
Contains dairy & treenuts.,"Dairy - indexes: [9,14] - text: dairy
Nuts - indexes: [17,25] - text: treenuts",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Contains Peanuts, Treenuts, mustard, milk and soya. Chicken barbecue in tandoor with onions, tomatoes,capsicum and flavoured with spices.","Peanuts - indexes: [9,16] - text: Peanuts
Nuts - indexes: [18,26] - text: Treenuts
Mustard - indexes: [28,35] - text: mustard
Dairy - indexes: [37,41] - text: milk
Soybeans - indexes: [46,50] - text: soya",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Choose your base (acai or dragon fruit) and we'll add fresh strawberries, ruby chocolate curls, a pink mochi (flavour dependent on availability) and a delicious strawberry sauce! Our Little Moon mochis may contain: Milk, Nuts, Peanuts, Sesame, Soya, Egg and Sulphites. Bowl contains: Soybeans, Milk, Cashew Nuts (Cashew Paste).","Dairy - indexes: [215,219] - text: Milk
Nuts - indexes: [221,225] - text: Nuts
Peanuts - indexes: [227,234] - text: Peanuts
Sesame - indexes: [236,242] - text: Sesame
Soybeans - indexes: [244,248] - text: Soya
Eggs - indexes: [250,253] - text: Egg
Sulphites - indexes: [258,267] - text: Sulphites
Soybeans - indexes: [284,292] - text: Soybeans
Dairy - indexes: [294,298] - text: Milk
Nuts - indexes: [300,311] - text: Cashew Nuts
Nuts - indexes: [313,319] - text: Cashew","[{'span': 'contains: Soybeans, Milk, Cashew Nuts (Cashew Paste).', 'allergen': 'Soybeans', 'certainty': 'High', 'explanation': 'Explicitly declared as allergen'}, {'span': 'contains: Soybeans, Milk, Cashew Nuts (Cashew Paste).', 'allergen': 'Milk', 'certainty': 'High', 'explanation': 'Explicitly declared as allergen'}, {'span': 'contains: Soybeans, Milk, Cashew Nuts (Cashew Paste).', 'allergen': 'Cashew Nuts (Cashew Paste)', 'certainty': 'High', 'explanation': 'Explicitly declared as allergen'}]","Mismatch between predicted allergens {'234] - text: Peanuts\nSesame - indexes: [236', '242] - text: Sesame\nSoybeans - indexes: [244', '311] - text: Cashew Nuts\nNuts - indexes: [313', 'Dairy - indexes: [215', '267] - text: Sulphites\nSoybeans - indexes: [284', '248] - text: Soya\nEggs - indexes: [250', '219] - text: Milk\nNuts - indexes: [221', '298] - text: Milk\nNuts - indexes: [300', '253] - text: Egg\nSulphites - indexes: [258', '225] - text: Nuts\nPeanuts - indexes: [227', '319] - text: Cashew', '292] - text: Soybeans\nDairy - indexes: [294'} and extracted allergens {'Cashew Nuts (Cashew Paste)', 'Milk', 'Soybeans'}"
"Steamed Bao Bun Filled With Roasted Duck, Spring Onion, Carrots, and Chinese Cabbage in Hoishin Sauce Wheat, So, Se, Oyster Sauce","Wheat - indexes: [102,107] - text: Wheat
Soybeans - indexes: [109,111] - text: So
Sesame - indexes: [113,115] - text: Se
Molluscs - indexes: [117,123] - text: Oyster",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Contain:Crustacean.Chicken, beef, roast pork and king prawn.","Crustaceans - indexes: [8,18] - text: Crustacean",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Served with bacon, BBQ sauce and mozzarella. Not GF.","Gluten - indexes: [45,51] - text: Not GF",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"ALLERGENS
Contains
GlutenGluten: WheatGluten: RyeGluten: BarleyGluten: OatsEggsMilkSulphur dioxideMustard","Gluten - indexes: [19,31] - text: GlutenGluten
Wheat - indexes: [33,44] - text: WheatGluten
Gluten - indexes: [46,55] - text: RyeGluten
Gluten - indexes: [57,69] - text: BarleyGluten
Gluten - indexes: [71,90] - text: OatsEggsMilkSulphur",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Ingredients: HONEY, FLOUR, egg, margarine, sugar, DOUBLE CREAM, natural yogurt, lemon juice. Chocolate for decoration if used.","Gluten - indexes: [20,25] - text: FLOUR
Eggs - indexes: [27,30] - text: egg",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Allergies and intolerance: Wheat flour, Wheat, Mustard, Soya protein, Soya Sauce, Soybean","Wheat - indexes: [27,38] - text: Wheat flour
Wheat - indexes: [40,45] - text: Wheat
Mustard - indexes: [47,54] - text: Mustard
Soybeans - indexes: [56,68] - text: Soya protein
Soybeans - indexes: [70,80] - text: Soya Sauce
Soybeans - indexes: [82,89] - text: Soybean",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Assorted Appetiser for 2
Special Curry 🌶️Beef in Black Bean Sauce
Yung Chow Fried Rice (2)
(contain Shrimp,Chicken,Roast Pork & Egg)","Nuts - indexes: [92,99] - text: contain
Crustaceans - indexes: [100,106] - text: Shrimp",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Chewy oats, nuts, seeds and dried fruit with demerara sugar, honey and cinnamon
Cereals containing gluten, Nuts, Milk, Suitable for vegetarians, Oats, Almonds, Pecan nut","Gluten - indexes: [6,10] - text: oats
Nuts - indexes: [12,16] - text: nuts
Gluten - indexes: [80,105] - text: Cereals containing gluten
Nuts - indexes: [107,111] - text: Nuts
Dairy - indexes: [113,117] - text: Milk
Gluten - indexes: [145,149] - text: Oats
Nuts - indexes: [151,158] - text: Almonds
Nuts - indexes: [160,169] - text: Pecan nut",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
Cereals containg gluten. Celery,"Gluten - indexes: [0,23] - text: Cereals containg gluten
Celery and Celeriac - indexes: [25,31] - text: Celery",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
Vegetable Somosa /Ms,"Mustard - indexes: [18,20] - text: Ms",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"62.
[LG] 3.25
Steamed Thai jasmine fragrant rice","Dairy - indexes: [5,7] - text: LG",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
Contain crustaceans and cereal containing gluten,"Crustaceans - indexes: [8,19] - text: crustaceans
Gluten - indexes: [24,48] - text: cereal containing gluten",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"CEREALS, MILK, EGG, ALMONDS
Exact ingredients may differ depending on store location. Please ask the team directly if you require further information.","Gluten - indexes: [0,7] - text: CEREALS
Dairy - indexes: [9,13] - text: MILK
Eggs - indexes: [15,18] - text: EGG
Nuts - indexes: [20,27] - text: ALMONDS",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Contains cereal with gluten wheat, celery, and sulphur dioxide. Savoury pastry with cheese and onion","Gluten - indexes: [9,27] - text: cereal with gluten
Wheat - indexes: [28,33] - text: wheat
Celery and Celeriac - indexes: [35,41] - text: celery
Sulphites - indexes: [47,62] - text: sulphur dioxide",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"D
G
E
CL
SE","Dairy - indexes: [0,1] - text: D
Gluten - indexes: [2,3] - text: G
Eggs - indexes: [4,5] - text: E
Celery and Celeriac - indexes: [6,8] - text: CL
Sesame - indexes: [9,11] - text: SE",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
Prawn Biryani (D) (N) (CS),"Dairy - indexes: [15,16] - text: D
Nuts - indexes: [19,20] - text: N
Crustaceans - indexes: [23,25] - text: CS","[{'span': '(N)', 'allergen': 'Nuts', 'certainty': 'High', 'explanation': 'Shorthand code N indicates Nuts'}]","Mismatch between predicted allergens {'16] - text: D\nNuts - indexes: [19', 'Dairy - indexes: [15', '25] - text: CS', '20] - text: N\nCrustaceans - indexes: [23'} and extracted allergens {'Nuts'}"
"Dairy, Sulfur Dioxide, Medium","Dairy - indexes: [0,5] - text: Dairy
Sulphites - indexes: [7,21] - text: Sulfur Dioxide",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Our pesto is the best-o! Made fresh every week to our special vegan recipe and using basil fresh from our hydroponic wall, it makes the perfect crust dipper. Contains pine nuts.","Nuts - indexes: [167,176] - text: pine nuts",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Delight in our exquisite homemade guacamole, carefully crafted with ripe avocados, spring onions, fragrant coriander, zesty lime juice, a touch of olive oil, and a sprinkle of salt.
A taste of freshness in every bite! 🥑🍅🌿🍋","Gluten - indexes: [158,161] - text: and",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Contains
GlutenGluten: WheatGluten: RyeGluten: BarleyGluten: OatsGluten: SpeltGluten: KamutEggsSoyaMilkNutsNuts: AlmondNuts: HazelnutNuts: WalnutNuts: CashewNuts: PecanNuts: BrazilNuts: PistachioNuts: Macadamia","Gluten - indexes: [9,21] - text: GlutenGluten
Gluten - indexes: [23,34] - text: WheatGluten
Gluten - indexes: [36,45] - text: RyeGluten
Gluten - indexes: [47,59] - text: BarleyGluten
Gluten - indexes: [61,71] - text: OatsGluten
Gluten - indexes: [73,84] - text: SpeltGluten
Nuts - indexes: [113,123] - text: AlmondNuts
Nuts - indexes: [125,137] - text: HazelnutNuts
Nuts - indexes: [139,149] - text: WalnutNuts
Nuts - indexes: [151,161] - text: CashewNuts
Nuts - indexes: [163,172] - text: PecanNuts
Nuts - indexes: [174,184] - text: BrazilNuts
Nuts - indexes: [186,199] - text: PistachioNuts
Nuts - indexes: [201,210] - text: Macadamia",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Cereal Gluten, Soya, Fish, Shrimps, Sesame.","Gluten - indexes: [0,13] - text: Cereal Gluten
Soybeans - indexes: [15,19] - text: Soya
Fish - indexes: [21,25] - text: Fish
Crustaceans - indexes: [27,34] - text: Shrimps
Sesame - indexes: [36,42] - text: Sesame",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
Calzone Verdure (can not be Gluten-free ),"Gluten - indexes: [21,24] - text: not
Gluten - indexes: [28,34] - text: Gluten",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
Contain: Soya beans,"Soybeans - indexes: [9,19] - text: Soya beans",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"G - Contains GlutenCauliflower marinated in Indian spices & pan cooked with chillies, peppers, onions & curry leaves","Gluten - indexes: [0,1] - text: G
Gluten - indexes: [13,30] - text: GlutenCauliflower",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Mild creamy dish contains cashewnuts (N,SO2,M)","Nuts - indexes: [26,36] - text: cashewnuts
Nuts - indexes: [38,39] - text: N
Sulphites - indexes: [40,43] - text: SO2
Dairy - indexes: [44,45] - text: M",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"SEED CRUSTED | SMOKED APPLEWOOD | HOUSE BBQ SAUCE
£17.7
MI|SU|F|G|M|S|E|SE","Dairy - indexes: [56,58] - text: MI
Sulphites - indexes: [59,61] - text: SU
Fish - indexes: [62,63] - text: F
Gluten - indexes: [64,65] - text: G
Dairy - indexes: [66,67] - text: M
Soybeans - indexes: [68,69] - text: S
Eggs - indexes: [70,71] - text: E
Sesame - indexes: [72,74] - text: SE",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Contains : Wheat, milks, soya, gluten and nuts","Wheat - indexes: [11,16] - text: Wheat
Dairy - indexes: [18,23] - text: milks
Soybeans - indexes: [25,29] - text: soya
Gluten - indexes: [31,37] - text: gluten
Nuts - indexes: [42,46] - text: nuts",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"*Contains dairy, mustrad, fish, nuts - A combination of char-grilled lamb, chicken, sheikh kebab, prawn & king prawns, cooked in a mild creamy masala sauce.","Dairy - indexes: [10,15] - text: dairy
Mustard - indexes: [17,24] - text: mustrad
Fish - indexes: [26,30] - text: fish
Nuts - indexes: [32,36] - text: nuts",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Mashed chickpeas, tahini, oil, lemon juice, and garlic.
vegetarian - sesame seed","Sesame - indexes: [69,80] - text: sesame seed",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"ALLERGENS
Contains
FishMilkSulphur dioxideMolluscs","Sulphites - indexes: [35,50] - text: dioxideMolluscs",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
(G: E: SP: M : SS),"Gluten - indexes: [1,2] - text: G
Eggs - indexes: [4,5] - text: E
Sulphites - indexes: [7,9] - text: SP
Dairy - indexes: [11,12] - text: M
Sesame - indexes: [15,17] - text: SS",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
TANDOORI SALMON (M),"Fish - indexes: [9,15] - text: SALMON
Dairy - indexes: [17,18] - text: M","[{'span': '(M)', 'allergen': 'Molluscs', 'certainty': 'High', 'explanation': 'Shorthand code M indicates Molluscs'}]","Mismatch between predicted allergens {'18] - text: M', 'Fish - indexes: [9', '15] - text: SALMON\nDairy - indexes: [17'} and extracted allergens {'Molluscs'}"
"Salmon marinated in special spices and grilled over clay oven. Contains : Dairy Products, Salmon","Fish - indexes: [0,6] - text: Salmon
Dairy - indexes: [74,79] - text: Dairy
Fish - indexes: [90,96] - text: Salmon",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
Deep fried pumkin mousse with spicy mayo sauce,"Soybeans - indexes: [41,46] - text: sauce",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Slices of chicken, deliciously
seasoned & cooked on an
upright spear. Contains
selderg, soya, mustard and
celery.","Gluten - indexes: [79,86] - text: selderg
Soybeans - indexes: [88,92] - text: soya
Mustard - indexes: [94,101] - text: mustard
Celery and Celeriac - indexes: [106,112] - text: celery",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Contain soya, and glutan.","Soybeans - indexes: [8,12] - text: soya
Gluten - indexes: [18,24] - text: glutan",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
Vanilla ice cream – Amaretti biscuit Baileys shot (gl-mi-sd),"Gluten - indexes: [51,53] - text: gl
Dairy - indexes: [54,56] - text: mi
Sulphites - indexes: [57,59] - text: sd",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Spinach and cottage cheese.
Allergen content: Mustard seed.","Mustard - indexes: [46,58] - text: Mustard seed",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Gluten, Shellfish and Molluscs","Gluten - indexes: [0,6] - text: Gluten
Crustaceans - indexes: [8,17] - text: Shellfish
Molluscs - indexes: [22,30] - text: Molluscs",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Allergens: Celery, (Wh), Eggs, Milk, (MC)-Mustard,(MC)-Nuts,(MC)-Peanuts, (MC)-Sesame seeds,(MC)-Soya.","Celery and Celeriac - indexes: [11,17] - text: Celery
Wheat - indexes: [20,22] - text: Wh
Eggs - indexes: [25,29] - text: Eggs
Dairy - indexes: [31,35] - text: Milk
Molluscs - indexes: [38,40] - text: MC
Mustard - indexes: [42,49] - text: Mustard
Molluscs - indexes: [51,53] - text: MC
Nuts - indexes: [55,59] - text: Nuts
Molluscs - indexes: [61,63] - text: MC
Peanuts - indexes: [65,72] - text: Peanuts
Molluscs - indexes: [75,77] - text: MC
Sesame - indexes: [79,91] - text: Sesame seeds
Molluscs - indexes: [93,95] - text: MC
Soybeans - indexes: [97,101] - text: Soya","[{'span': 'Allergens: Celery, (Wh), Eggs, Milk, (MC)-Mustard,(MC)-Nuts,(MC)-Peanuts, (MC)-Sesame seeds,(MC)-Soya.', 'allergen': 'Celery', 'certainty': 'High', 'explanation': 'Explicitly declared as allergen'}, {'span': 'Allergens: Celery, (Wh), Eggs, Milk, (MC)-Mustard,(MC)-Nuts,(MC)-Peanuts, (MC)-Sesame seeds,(MC)-Soya.', 'allergen': '(Wh)', 'certainty': 'High', 'explanation': 'Explicitly declared as allergen'}, {'span': 'Allergens: Celery, (Wh), Eggs, Milk, (MC)-Mustard,(MC)-Nuts,(MC)-Peanuts, (MC)-Sesame seeds,(MC)-Soya.', 'allergen': 'Eggs', 'certainty': 'High', 'explanation': 'Explicitly declared as allergen'}, {'span': 'Allergens: Celery, (Wh), Eggs, Milk, (MC)-Mustard,(MC)-Nuts,(MC)-Peanuts, (MC)-Sesame seeds,(MC)-Soya.', 'allergen': 'Milk', 'certainty': 'High', 'explanation': 'Explicitly declared as allergen'}, {'span': 'Allergens: Celery, (Wh), Eggs, Milk, (MC)-Mustard,(MC)-Nuts,(MC)-Peanuts, (MC)-Sesame seeds,(MC)-Soya.', 'allergen': '(MC)-Mustard', 'certainty': 'High', 'explanation': 'Explicitly declared as allergen'}, {'span': 'Allergens: Celery, (Wh), Eggs, Milk, (MC)-Mustard,(MC)-Nuts,(MC)-Peanuts, (MC)-Sesame seeds,(MC)-Soya.', 'allergen': '(MC)-Nuts', 'certainty': 'High', 'explanation': 'Explicitly declared as allergen'}, {'span': 'Allergens: Celery, (Wh), Eggs, Milk, (MC)-Mustard,(MC)-Nuts,(MC)-Peanuts, (MC)-Sesame seeds,(MC)-Soya.', 'allergen': '(MC)-Peanuts', 'certainty': 'High', 'explanation': 'Explicitly declared as allergen'}, {'span': 'Allergens: Celery, (Wh), Eggs, Milk, (MC)-Mustard,(MC)-Nuts,(MC)-Peanuts, (MC)-Sesame seeds,(MC)-Soya.', 'allergen': '(MC)-Sesame seeds', 'certainty': 'High', 'explanation': 'Explicitly declared as allergen'}, {'span': 'Allergens: Celery, (Wh), Eggs, Milk, (MC)-Mustard,(MC)-Nuts,(MC)-Peanuts, (MC)-Sesame seeds,(MC)-Soya.', 'allergen': '(MC)-Soya', 'certainty': 'High', 'explanation': 'Explicitly declared as allergen'}]","Mismatch between predicted allergens {'72] - text: Peanuts\nMolluscs - indexes: [75', '77] - text: MC\nSesame - indexes: [79', '91] - text: Sesame seeds\nMolluscs - indexes: [93', '49] - text: Mustard\nMolluscs - indexes: [51', '59] - text: Nuts\nMolluscs - indexes: [61', '101] - text: Soya', 'Celery and Celeriac - indexes: [11', '63] - text: MC\nPeanuts - indexes: [65', '29] - text: Eggs\nDairy - indexes: [31', '22] - text: Wh\nEggs - indexes: [25', '95] - text: MC\nSoybeans - indexes: [97', '17] - text: Celery\nWheat - indexes: [20', '40] - text: MC\nMustard - indexes: [42', '35] - text: Milk\nMolluscs - indexes: [38', '53] - text: MC\nNuts - indexes: [55'} and extracted allergens {'(Wh)', 'Eggs', '(MC)-Soya', 'Milk', 'Celery', '(MC)-Peanuts', '(MC)-Mustard', '(MC)-Sesame seeds', '(MC)-Nuts'}"
"smoked salmon, mackerel & trout, rollmops, seafood salad, home made tartar sauce & crostini","Crustaceans - indexes: [43,50] - text: seafood",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
Contains Dairy & Mustartd.,"Dairy - indexes: [9,14] - text: Dairy
Mustard - indexes: [17,25] - text: Mustartd",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
Contains Mustard Oil Hot,"Mustard - indexes: [9,20] - text: Mustard Oil",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
4. Vietnamese Salad,"Eggs - indexes: [0,1] - text: 4",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
CONTAINS DAIRY PRODUCTS. Spinach with cheese in a medium spiced thick sauce,"Dairy - indexes: [9,23] - text: DAIRY PRODUCTS",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
107. Beancurd with Cashew Nut,"Nuts - indexes: [19,29] - text: Cashew Nut",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"A vibrant filling, consisting of sliced chicken breast marinated in Chinese spices. Cereal with Gluten Wheat, Egg, Soya, Celery or Celeriac, Mustard, Sulphur Dioxide or Sulphites.","Gluten - indexes: [84,102] - text: Cereal with Gluten
Wheat - indexes: [103,108] - text: Wheat
Eggs - indexes: [110,113] - text: Egg
Soybeans - indexes: [115,119] - text: Soya
Celery and Celeriac - indexes: [121,127] - text: Celery
Celery and Celeriac - indexes: [131,139] - text: Celeriac
Mustard - indexes: [141,148] - text: Mustard
Sulphites - indexes: [150,165] - text: Sulphur Dioxide
Sulphites - indexes: [169,178] - text: Sulphites",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Nuts
Tree nuts – including almonds, hazelnuts, walnuts, brazil nuts, cashews, pecans, pistachios and macadamia nuts","Nuts - indexes: [0,4] - text: Nuts
Nuts - indexes: [5,14] - text: Tree nuts
Nuts - indexes: [27,34] - text: almonds
Nuts - indexes: [36,45] - text: hazelnuts
Nuts - indexes: [47,54] - text: walnuts
Nuts - indexes: [56,67] - text: brazil nuts
Nuts - indexes: [69,76] - text: cashews
Nuts - indexes: [78,84] - text: pecans
Nuts - indexes: [86,96] - text: pistachios
Nuts - indexes: [101,115] - text: macadamia nuts",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Spaghetti Pomodoro e Basilico (v,gf/wo)","Gluten - indexes: [36,38] - text: wo",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"3kinds of sashimi (2 pieces each), 6 nigiri, 3 salmon & avocado
and 3 tuna & avocado ura-maki, edamame, salad and
miso soup *mayonnaise, sesame","Eggs - indexes: [125,135] - text: mayonnaise
Sesame - indexes: [137,143] - text: sesame",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"daikon, samphire / F, G*, S, SUL, SES*","Fish - indexes: [19,20] - text: F
Gluten - indexes: [22,23] - text: G
Soybeans - indexes: [26,27] - text: S
Sulphites - indexes: [29,32] - text: SUL
Sesame - indexes: [34,37] - text: SES",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Allergens
Cereals containing gluten, milk and/or products containing lactose, nuts","Gluten - indexes: [10,35] - text: Cereals containing gluten
Dairy - indexes: [37,41] - text: milk
Gluten - indexes: [58,76] - text: containing lactose
Nuts - indexes: [78,82] - text: nuts",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
Chicken With Cashewnuts 腰果鸡,"Nuts - indexes: [13,23] - text: Cashewnuts",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Contains
GlutenGluten: WheatGluten: RyeGluten: BarleyGluten: OatsGluten: SpeltGluten: KamutEggsMilkNutsNuts: AlmondNuts: HazelnutNuts: WalnutNuts: CashewNuts: PecanNuts: BrazilNuts: PistachioNuts: MacadamiaSulphur dioxideCelery","Gluten - indexes: [9,21] - text: GlutenGluten
Wheat - indexes: [23,34] - text: WheatGluten
Gluten - indexes: [36,45] - text: RyeGluten
Gluten - indexes: [47,59] - text: BarleyGluten
Gluten - indexes: [61,71] - text: OatsGluten
Nuts - indexes: [109,119] - text: AlmondNuts
Nuts - indexes: [121,133] - text: HazelnutNuts
Nuts - indexes: [135,145] - text: WalnutNuts
Nuts - indexes: [147,157] - text: CashewNuts
Nuts - indexes: [159,168] - text: PecanNuts
Nuts - indexes: [170,180] - text: BrazilNuts
Nuts - indexes: [182,195] - text: PistachioNuts
Nuts - indexes: [197,213] - text: MacadamiaSulphur",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Contains
Shell fish,Suphites.","Sulphites - indexes: [20,28] - text: Suphites",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
Tortellini Ragu Not Available Gluten Free,"Gluten - indexes: [16,41] - text: Not Available Gluten Free",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
ORIGINAL CHEESE,"Dairy - indexes: [9,15] - text: CHEESE",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
Salt-Chilli Rib 召盐骨,"Peanuts - indexes: [4,5] - text: -",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
Contains crutacean and nuts.,"Crustaceans - indexes: [9,18] - text: crutacean
Nuts - indexes: [23,27] - text: nuts",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
Stir-fried Ginger Tofu,"Soybeans - indexes: [18,22] - text: Tofu",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Stir-fried ginger with tofu with spring onion, red and green pepper and mushroom.","Soybeans - indexes: [23,27] - text: tofu",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"ALLERGENS
Contains
MilkSulphur dioxide","Dairy - indexes: [19,30] - text: MilkSulphur
Sulphites - indexes: [31,38] - text: dioxide",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
FRIED CHICKEN WITH CASHEW NUT,"Nuts - indexes: [19,29] - text: CASHEW NUT",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
Contains Sesame Oil Contains Soya Bean Oil Contains Sulphite Contains Celery,"Sesame - indexes: [9,19] - text: Sesame Oil
Soybeans - indexes: [29,42] - text: Soya Bean Oil
Sulphites - indexes: [52,60] - text: Sulphite
Celery and Celeriac - indexes: [70,76] - text: Celery",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
